symbol, avg_price, max_change, avg_atr, stddev_atr, avg_volume
ARCT, 11.8911, 0.0152, 0.0052, 0.0019, 9231.0000
ARC, 3.3623, 0.0412, 0.0053, 0.0023, 1237.0000
ARDC, 19.5115, 0.0183, 0.0215, 0.0121, 982.0000
AREX, 25.7511, 0.0461, 0.0245, 0.0110, 1561.0000
ARE, 70.1122, 0.0155, 0.0351, 0.0182, 1798.0000
ARG, 98.9056, 0.0202, 0.0416, 0.0205, 1331.0000
ARIA, 18.3597, 0.0892, 0.0185, 0.0119, 6900.0000
ARII, 34.4497, 0.0893, 0.0396, 0.0176, 1208.0000
ARI, 16.8952, 0.0209, 0.0109, 0.0055, 1287.0000
ARK, 4.3909, 0.0167, 0.0039, 0.0019, 1192.0000
ARLP, 67.9069, 0.0503, 0.0970, 0.0402, 484.0000
ARMH, 41.6091, 0.0462, 0.0231, 0.0119, 6807.0000
ARNA, 7.8459, 0.1475, 0.0079, 0.0052, 13672.0000
AROW, 24.7274, 0.0373, 0.0466, 0.0176, 448.0000
ARO, 14.5220, 0.0613, 0.0112, 0.0057, 4809.0000
ARPI, 18.6540, 0.0364, 0.0175, 0.0087, 1311.0000
ARP, 22.9240, 0.0415, 0.0223, 0.0130, 1910.0000
ARQL, 2.6637, 0.4238, 0.0047, 0.0027, 1473.0000
ARRS, 15.2998, 0.0434, 0.0088, 0.0042, 3735.0000
ARRY, 5.3416, 0.1331, 0.0071, 0.0034, 4603.0000
ARR, 4.9150, 0.0341, 0.0055, 0.0020, 21657.0000
ARSD, 7.9896, 0.0369, 0.0193, 0.0085, 577.0000
ARTC, 35.2118, 0.0318, 0.0336, 0.0146, 643.0000
ARTNA, 22.3061, 0.0422, 0.0638, 0.0237, 397.0000
ART, 2.4739, 0.3220, 0.0035, 0.0020, 2514.0000
ARUN, 15.4434, 0.2817, 0.0132, 0.0098, 10127.0000
ARU, 25.0496, 0.0178, 0.0222, 0.0118, 759.0000
ARWR, 2.1957, 0.8182, 0.0106, 0.0107, 1746.0000
ARW, 39.9779, 0.0184, 0.0194, 0.0100, 1868.0000
ARX, 7.6246, 0.0982, 0.0188, 0.0068, 608.0000
ARY, 26.6799, 0.0361, 0.0284, 0.0134, 510.0000
ASA, 17.4881, 0.0480, 0.0252, 0.0090, 1041.0000
ASBC, 15.5898, 0.0155, 0.0076, 0.0032, 2673.0000
ASCA, 26.3105, 0.0332, 0.0054, 0.0060, 1951.0000
ASCMA, 69.0455, 0.0238, 0.1076, 0.0478, 424.0000
ASEA, 17.5373, 0.0319, 0.0159, 0.0102, 890.0000
ASEI, 62.2803, 0.0773, 0.0783, 0.0371, 363.0000
ASFI, 9.1425, 0.0580, 0.0249, 0.0133, 515.0000
ASGN, 26.4172, 0.1582, 0.0237, 0.0121, 1224.0000
ASG, 4.3554, 0.0222, 0.0054, 0.0024, 1132.0000
ASH, 86.7595, 0.0194, 0.0423, 0.0193, 1995.0000
ASIA, 11.4892, 0.0271, 0.0074, 0.0060, 1249.0000
ASI, 23.7225, 0.2113, 0.0226, 0.0197, 649.0000
ASML, 81.2232, 0.0329, 0.0353, 0.0146, 3011.0000
ASNA, 18.6834, 0.0811, 0.0098, 0.0055, 3301.0000
ASPS, 85.6986, 0.0261, 0.0823, 0.0356, 938.0000
ASR, 122.7671, 0.0294, 0.1095, 0.0470, 503.0000
ASTE, 34.3548, 0.0567, 0.0446, 0.0182, 483.0000
ASTI, 0.7884, 0.3332, 0.0044, 0.0026, 4796.0000
ASTM, 0.9411, 0.3220, 0.0040, 0.0020, 3196.0000
ASTX, 5.0700, 0.0817, 0.0066, 0.0030, 3984.0000
ASX, 4.1530, 0.0326, 0.0035, 0.0016, 2644.0000
ASYS, 4.4982, 0.3032, 0.0228, 0.0140, 947.0000
ATAX, 6.9268, 0.1475, 0.0123, 0.0107, 1385.0000
ATEC, 1.9188, 0.1000, 0.0056, 0.0025, 1436.0000
ATHN, 91.7478, 0.1612, 0.0794, 0.0479, 1684.0000
ATHX, 1.7959, 0.8273, 0.0054, 0.0053, 3162.0000
ATI, 27.6467, 1.8612, 0.0246, 0.1137, 4064.0000
ATK, 79.5091, 0.0116, 0.0389, 0.0151, 932.0000
ATLS, 49.1322, 0.0812, 0.0432, 0.0198, 1081.0000
ATMI, 23.1283, 0.0729, 0.0184, 0.0094, 774.0000
ATML, 7.5808, 0.1254, 0.0066, 0.0034, 16045.0000
ATNI, 45.5080, 0.1541, 0.0768, 0.0332, 442.0000
ATNY, 2.7170, 0.4333, 0.0090, 0.0059, 1257.0000
ATOS, 6.7518, 0.2839, 0.0455, 0.0317, 1395.0000
ATO, 42.4756, 0.0138, 0.0199, 0.0085, 1195.0000
ATRC, 8.2262, 0.0506, 0.0147, 0.0065, 773.0000
ATRO, 30.7951, 0.0452, 0.0535, 0.0234, 578.0000
ATRS, 4.0798, 0.0207, 0.0046, 0.0015, 3153.0000
ATR, 56.6336, 0.0177, 0.0292, 0.0125, 664.0000
ATSG, 5.8272, 0.1784, 0.0081, 0.0043, 1023.0000
ATTU, 6.3998, 0.1521, 0.0315, 0.0171, 785.0000
ATU, 33.4206, 0.0174, 0.0159, 0.0079, 1426.0000
ATVI, 14.7677, 0.0687, 0.0090, 0.0074, 18332.0000
ATW, 54.1207, 0.0164, 0.0314, 0.0136, 1677.0000
ATX, 13.6563, 0.2174, 0.0444, 0.0253, 557.0000
AT, 4.5791, 0.0277, 0.0055, 0.0021, 2746.0000
AUDC, 3.9462, 0.2903, 0.0127, 0.0130, 1322.0000
AUMN, 1.8246, 0.1646, 0.0058, 0.0024, 1350.0000
AUNZ, 21.9113, 0.0200, 0.0256, 0.0136, 1281.0000
AUO, 4.0062, 0.0609, 0.0037, 0.0016, 4141.0000
AUQ, 4.7485, 0.0600, 0.0064, 0.0027, 6630.0000
AUXL, 16.2545, 0.0681, 0.0136, 0.0066, 2151.0000
AUY, 10.5255, 0.0850, 0.0103, 0.0047, 18988.0000
AU, 15.4474, 0.0837, 0.0138, 0.0062, 8998.0000
AVAV, 19.7780, 0.0479, 0.0158, 0.0079, 958.0000
AVA, 27.6214, 0.0209, 0.0141, 0.0057, 1001.0000
AVB, 135.9609, 0.0123, 0.0709, 0.0357, 2216.0000
AVD, 27.9490, 0.0937, 0.0265, 0.0130, 1019.0000
AVEO, 2.9028, 0.5722, 0.0060, 0.0065, 6415.0000
AVF, 25.6432, 0.0181, 0.0100, 0.0043, 993.0000
AVGO, 36.8369, 0.0555, 0.0182, 0.0099, 6335.0000
AVG, 18.3802, 0.0950, 0.0182, 0.0083, 1640.0000
AVHI, 14.7539, 0.0905, 0.0595, 0.0259, 785.0000
AVID, 6.8570, 0.0553, 0.0102, 0.0047, 739.0000
AVIV, 26.1907, 0.0276, 0.0239, 0.0110, 1173.0000
AVK, 16.9519, 0.0329, 0.0094, 0.0042, 650.0000
AVL, 1.0661, 0.0741, 0.0040, 0.0015, 2695.0000
AVNR, 4.0241, 0.0623, 0.0056, 0.0027, 5488.0000
AVNW, 2.9011, 0.0546, 0.0052, 0.0020, 1224.0000
AVP, 22.7340, 0.0300, 0.0131, 0.0055, 8323.0000
AVT, 34.1630, 0.0177, 0.0148, 0.0070, 1789.0000
AVV, 27.9765, 0.0252, 0.0236, 0.0100, 653.0000
AVX, 11.8820, 0.0167, 0.0065, 0.0028, 791.0000
AVY, 43.5810, 0.0577, 0.0192, 0.0105, 1447.0000
AV, 10.7171, 0.1211, 0.0089, 0.0036, 751.0000
AWAY, 30.7029, 0.0437, 0.0251, 0.0133, 2719.0000
AWC, 4.2708, 0.0839, 0.0050, 0.0019, 1194.0000
AWF, 15.7497, 0.0297, 0.0121, 0.0044, 1321.0000
AWH, 91.7681, 0.0112, 0.0403, 0.0161, 687.0000
AWI, 50.4750, 0.0342, 0.0396, 0.0168, 1107.0000
AWK, 41.2976, 0.0238, 0.0183, 0.0080, 2304.0000
AWP, 8.0999, 0.0254, 0.0053, 0.0022, 1481.0000
AWRE, 5.3477, 0.2424, 0.0125, 0.0122, 893.0000
AWR, 55.2414, 0.0146, 0.0402, 0.0141, 585.0000
AXAS, 2.2620, 0.0441, 0.0041, 0.0015, 2015.0000
AXDX, 7.4674, 0.1268, 0.0354, 0.0173, 753.0000
AXE, 74.5630, 0.0474, 0.0450, 0.0196, 894.0000
AXLL, 44.1579, 0.0287, 0.0398, 0.0192, 3825.0000
AXL, 17.9333, 0.0472, 0.0145, 0.0065, 3575.0000
AXP, 75.1279, 0.0383, 0.0333, 0.0159, 13573.0000
AXS, 45.3167, 0.0090, 0.0147, 0.0065, 2364.0000
AXTI, 2.8423, 0.4238, 0.0057, 0.0047, 1170.0000
AXU, 1.8145, 0.1048, 0.0054, 0.0020, 1680.0000
AYI, 77.2397, 0.0340, 0.0530, 0.0239, 1084.0000
AYR, 15.5592, 0.0788, 0.0108, 0.0050, 1310.0000
AZC, 2.4444, 0.0420, 0.0066, 0.0026, 1037.0000
AZK, 4.1664, 0.0887, 0.0055, 0.0035, 3012.0000
AZN, 50.2886, 0.0245, 0.0140, 0.0067, 4255.0000
AZO, 414.9458, 0.0288, 0.2336, 0.1031, 817.0000
AZPN, 30.2928, 0.0446, 0.0163, 0.0094, 1789.0000
AZZ, 41.6969, 0.0689, 0.0386, 0.0187, 797.0000
A, 44.9002, 0.0248, 0.0198, 0.0094, 7904.0000
BAA, 1.1158, 0.1354, 0.0040, 0.0017, 3343.0000
BABS, 59.8963, 0.0190, 0.0543, 0.0265, 778.0000
BABY, 13.1237, 0.0987, 0.0173, 0.0086, 955.0000
BAB, 29.7017, 0.0237, 0.0129, 0.0060, 1659.0000
BAC.A, 5.4885, 0.0484, 0.0103, 0.0045, 3105.0000
BAC, 13.4490, 0.0353, 0.0082, 0.0034, 294847.0000
BAF, 15.4950, 0.0250, 0.0161, 0.0063, 773.0000
BAGL, 14.3326, 0.2590, 0.0232, 0.0129, 632.0000
BAH, 16.7778, 0.0307, 0.0117, 0.0068, 1358.0000
BAK, 15.5039, 0.0594, 0.0159, 0.0052, 1201.0000
BALT, 3.5051, 0.0891, 0.0082, 0.0043, 1084.0000
BAL, 53.7543, 0.0269, 0.0628, 0.0247, 680.0000
BAM, 36.5822, 0.0197, 0.0149, 0.0062, 2286.0000
BANC, 12.4694, 0.0913, 0.0224, 0.0114, 725.0000
BANF, 43.4373, 0.0474, 0.0853, 0.0362, 378.0000
BANR, 32.1853, 0.0275, 0.0275, 0.0123, 686.0000
BAP, 134.7704, 0.0508, 0.0887, 0.0467, 1285.0000
BAS, 13.4691, 0.0549, 0.0143, 0.0063, 1868.0000
BAX, 71.2045, 0.0175, 0.0253, 0.0109, 6782.0000
BA, 101.7875, 0.0203, 0.0408, 0.0289, 14095.0000
BBBY, 71.2633, 0.0144, 0.0292, 0.0132, 4654.0000
BBCN, 13.5130, 0.0744, 0.0102, 0.0050, 1285.0000
BBD, 14.1838, 0.0394, 0.0096, 0.0039, 23680.0000
BBEP, 18.3857, 0.0550, 0.0158, 0.0109, 3171.0000
BBF, 14.9178, 0.0283, 0.0196, 0.0075, 642.0000
BBG, 21.9910, 0.0232, 0.0214, 0.0097, 2479.0000
